iso3c,iso2c,country_code,country_name,eu27,un_region_name,un_sub_region_name,un_intermediate_region_name,un_region_clean,un_sub_region_clean,un_intermediate_region_clean,un_developed_or_developing_countries,kingdom,internal_count,regional_count,external_count,unknown_count,total_count,internal_percentage,regional_percentage,external_percentage,is_cbd_party,wb_income_group,is_cbd_party_1,wb_income_group_1,is_ldc,is_sids
PYF,PF,PF,French Polynesia,FALSE,Oceania,Polynesia,,Oceania,Polynesia,,Developing,Chromista,0,7,39575,0,39582,0.0,0.02,99.98,,,,,,
KHM,KH,KH,Cambodia,FALSE,Asia,South-eastern Asia,,Asia,South-eastern-Asia,,Developing,Plantae,0,912,38265,0,39177,0.0,2.33,97.67,True,Lower middle income,True,Lower middle income,True,False
CUW,CW,CW,Curacao,FALSE,Americas,Latin America and the Caribbean,Caribbean,Americas,Latin-America-and-the-Caribbean,Caribbean,Developing,Plantae,0,7393,31632,0,39025,0.0,18.94,81.06,,,,,,
GUY,GY,GY,Guyana,FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Fungi,0,10357,28570,0,38927,0.0,26.61,73.39,True,High income,True,High income,False,True
ECU,EC,EC,Ecuador,FALSE,Americas,Latin America and the Caribbean,South America,Americas,Latin-America-and-the-Caribbean,South-America,Developing,Fungi,3519,16106,19179,0,38804,9.07,41.51,49.43,True,Upper middle income,True,Upper middle income,False,False
BDI,BI,BI,Burundi,FALSE,Africa,Sub-Saharan Africa,Eastern Africa,Africa,Sub-Saharan-Africa,Eastern-Africa,Developing,Animalia,0,248,38207,0,38455,0.0,0.64,99.36,True,Low income,True,Low income,True,False
LIE,LI,LI,Liechtenstein,FALSE,Europe,Western Europe,,Europe,Western-Europe,,Developed,Animalia,0,32491,5881,0,38372,0.0,84.67,15.33,True,High income,True,High income,False,False
HUN,HU,HU,Hungary,TRUE,Europe,Eastern Europe,,Europe,Eastern-Europe,,Developed,Fungi,0,13930,24392,37,38359,0.0,36.31,63.59,True,High income,True,High income,False,False
CXR,CX,CX,Christmas Island,FALSE,Oceania,Australia and New Zealand,,Oceania,Australia-and-New-Zealand,,Developed,Animalia,0,15530,22746,0,38276,0.0,40.57,59.43,,,,,,
PAN,PA,PA,Panama,FALSE,Americas,Latin America and the Caribbean,Central America,Americas,Latin-America-and-the-Caribbean,Central-America,Developing,Fungi,0,11820,26435,0,38255,0.0,30.9,69.1,True,High income,True,High income,False,False
BEN,BJ,BJ,Benin,FALSE,Africa,Sub-Saharan Africa,Western Africa,Africa,Sub-Saharan-Africa,Western-Africa,Developing,Bacteria,35423,1,2719,0,38143,92.87,0.0,7.13,True,Lower middle income,True,Lower middle income,True,False
NER,NE,NE,Niger,FALSE,Africa,Sub-Saharan Africa,Western Africa,Africa,Sub-Saharan-Africa,Western-Africa,Developing,Animalia,384,140,37526,0,38050,1.01,0.37,98.62,True,Low income,True,Low income,True,False
SXM,SX,SX,Sint Maarten (Dutch part),FALSE,Americas,Latin America and the Caribbean,Caribbean,Americas,Latin-America-and-the-Caribbean,Caribbean,Developing,Animalia,0,30687,7351,0,38038,0.0,80.67,19.33,,,,,,
ZWE,ZW,ZW,Zimbabwe,FALSE,Africa,Sub-Saharan Africa,Eastern Africa,Africa,Sub-Saharan-Africa,Eastern-Africa,Developing,Fungi,0,167,37767,0,37934,0.0,0.44,99.56,True,Lower middle income,True,Lower middle income,False,False
LBY,LY,LY,Libya,FALSE,Africa,Northern Africa,,Africa,Northern-Africa,,Developing,Animalia,0,52,37648,0,37700,0.0,0.14,99.86,True,Upper middle income,True,Upper middle income,False,False
DMA,DM,DM,Dominica,FALSE,Americas,Latin America and the Caribbean,Caribbean,Americas,Latin-America-and-the-Caribbean,Caribbean,Developing,Plantae,0,29144,8480,0,37624,0.0,77.46,22.54,True,Upper middle income,True,Upper middle income,False,True
ITA,IT,IT,Italy,TRUE,Europe,Southern Europe,,Europe,Southern-Europe,,Developed,incertae sedis,13601,19792,4200,0,37593,36.18,52.65,11.17,True,High income,True,High income,False,False
SJM,SJ,SJ,Svalbard and Jan Mayen,FALSE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Fungi,6,35601,1020,0,36627,0.02,97.2,2.78,,,,,,
MUS,MU,MU,Mauritius,FALSE,Africa,Sub-Saharan Africa,Eastern Africa,Africa,Sub-Saharan-Africa,Eastern-Africa,Developing,Plantae,1022,1016,34364,0,36402,2.81,2.79,94.4,True,Upper middle income,True,Upper middle income,False,True
DEU,DE,DE,Germany,TRUE,Europe,Western Europe,,Europe,Western-Europe,,Developed,Protozoa,23162,7584,5642,0,36388,63.65,20.84,15.51,True,High income,True,High income,False,False
TCD,TD,TD,Chad,FALSE,Africa,Sub-Saharan Africa,Middle Africa,Africa,Sub-Saharan-Africa,Middle-Africa,Developing,Animalia,0,33,36088,0,36121,0.0,0.09,99.91,True,Low income,True,Low income,True,False
NOR,NO,NO,Norway,FALSE,Europe,Northern Europe,,Europe,Northern-Europe,,Developed,Protozoa,28375,4856,533,2354,36118,78.56,13.44,1.48,True,High income,True,High income,False,False
WSM,WS,WS,Samoa,FALSE,Oceania,Polynesia,,Oceania,Polynesia,,Developing,Plantae,5093,3463,27040,0,35596,14.31,9.73,75.96,True,Upper middle income,True,Upper middle income,False,True
THA,TH,TH,Thailand,FALSE,Asia,South-eastern Asia,,Asia,South-eastern-Asia,,Developing,Bacteria,12588,454,22488,0,35530,35.43,1.28,63.29,True,Upper middle income,True,Upper middle income,False,False
GAB,GA,GA,Gabon,FALSE,Africa,Sub-Saharan Africa,Middle Africa,Africa,Sub-Saharan-Africa,Middle-Africa,Developing,Fungi,6,8,35355,0,35369,0.02,0.02,99.96,True,Upper middle income,True,Upper middle income,False,False
POL,PL,PL,Poland,TRUE,Europe,Eastern Europe,,Europe,Eastern-Europe,,Developed,Chromista,14444,8284,1470,10718,34916,41.37,23.73,4.21,True,High income,True,High income,False,False
ROU,RO,RO,Romania,TRUE,Europe,Eastern Europe,,Europe,Eastern-Europe,,Developed,Fungi,0,20238,14656,15,34909,0.0,57.97,41.98,True,High income,True,High income,False,False
