lat,lon,source_type,record_count
-27.2,-52.0,REGIONAL,395
-22.9,-46.0,REGIONAL,394
-23.4,-46.5,REGIONAL,394
-22.8,-46.8,INTERNAL,393
-14.2,-47.8,REGIONAL,391
-20.1,-43.5,REGIONAL,391
-15.8,-47.9,EXTERNAL,390
-23.1,-44.2,REGIONAL,390
-25.6,-48.4,INTERNAL,389
-27.2,-53.9,REGIONAL,388
-26.5,-49.1,REGIONAL,388
-4.3,-70.3,REGIONAL,386
-20.8,-42.8,INTERNAL,386
-9.0,-35.2,INTERNAL,385
-1.8,-60.3,REGIONAL,385
-22.9,-42.8,REGIONAL,385
-19.3,-43.6,REGIONAL,384
-22.7,-45.6,REGIONAL,383
-25.4,-48.9,REGIONAL,383
-1.5,-48.4,REGIONAL,382
-17.2,-56.6,REGIONAL,381
-22.3,-43.0,REGIONAL,380
-5.4,-35.3,INTERNAL,380
-20.8,-40.6,REGIONAL,380
-25.7,-54.4,EXTERNAL,379
-23.5,-45.2,REGIONAL,378
-23.2,-46.5,INTERNAL,376
-25.4,-49.2,EXTERNAL,376
-12.0,-39.0,EXTERNAL,376
-16.8,-56.9,REGIONAL,374
-3.9,-38.7,REGIONAL,374
-23.2,-44.2,REGIONAL,373
-25.4,-48.2,INTERNAL,372
-22.7,-45.5,REGIONAL,372
-23.3,-45.1,INTERNAL,368
-15.5,-55.7,REGIONAL,367
-16.5,-39.0,REGIONAL,366
-26.3,-48.6,INTERNAL,365
-25.6,-48.6,INTERNAL,365
5.4,-48.0,EXTERNAL,365
-12.9,-38.3,REGIONAL,363
-23.5,-39.7,EXTERNAL,363
-19.9,-44.9,REGIONAL,363
-20.2,-40.3,REGIONAL,362
-14.8,-39.0,REGIONAL,359
-26.1,-48.6,REGIONAL,359
-20.2,-50.5,INTERNAL,358
-4.1,-41.5,EXTERNAL,355
-16.0,-47.9,REGIONAL,355
-25.3,-49.7,REGIONAL,355
-23.4,-45.0,REGIONAL,354
-25.0,-50.6,REGIONAL,353
-16.3,-48.9,REGIONAL,351
-22.9,-43.6,REGIONAL,351
-22.4,-42.5,REGIONAL,350
-26.8,-49.5,REGIONAL,349
-23.3,-44.9,REGIONAL,349
-22.4,-49.0,INTERNAL,349
-20.8,-40.7,REGIONAL,348
3.1,-60.9,INTERNAL,347
-27.5,-48.4,REGIONAL,346
-10.6,-63.6,REGIONAL,345
-5.5,-36.3,EXTERNAL,345
-26.5,-52.6,REGIONAL,344
-14.8,-46.0,REGIONAL,344
-32.2,-52.2,REGIONAL,343
-11.6,-42.5,EXTERNAL,342
-3.8,-38.4,REGIONAL,340
-22.6,-50.1,INTERNAL,340
-19.6,-44.0,REGIONAL,339
-23.7,-45.1,INTERNAL,338
-21.1,-47.7,INTERNAL,337
-12.6,-41.4,REGIONAL,337
-23.7,-46.6,EXTERNAL,334
-11.9,-55.5,REGIONAL,333
-7.3,-39.3,REGIONAL,333
-21.7,-43.9,REGIONAL,331
-10.3,-46.6,INTERNAL,330
-25.1,-50.1,INTERNAL,330
-19.4,-43.6,REGIONAL,329
-22.3,-42.6,REGIONAL,328
-3.9,-32.4,REGIONAL,327
-22.4,-45.4,REGIONAL,326
-22.5,-50.0,INTERNAL,326
-30.0,-51.2,EXTERNAL,326
-4.9,-36.2,INTERNAL,325
-7.0,-35.0,REGIONAL,324
-26.9,-49.2,REGIONAL,324
-23.7,-47.0,INTERNAL,324
-20.1,-47.4,INTERNAL,323
-22.4,-42.0,REGIONAL,323
-24.0,-47.6,REGIONAL,322
-23.3,-48.5,INTERNAL,322
-23.5,-46.2,REGIONAL,320
-15.8,-49.0,REGIONAL,319
-7.0,-66.3,INTERNAL,319
-23.8,-46.6,REGIONAL,318
-2.5,-55.0,REGIONAL,318
-23.2,-44.9,REGIONAL,317
-27.2,-49.7,REGIONAL,317
-25.4,-49.1,REGIONAL,315
-11.4,-42.5,EXTERNAL,315
-29.2,-53.7,REGIONAL,314
-25.6,-48.3,REGIONAL,314
-18.8,-50.5,INTERNAL,313
-25.0,-47.9,INTERNAL,313
-22.8,-42.0,REGIONAL,312
-22.4,-43.1,REGIONAL,312
-24.3,-47.0,REGIONAL,312
-17.9,-39.0,REGIONAL,311
-22.6,-43.9,REGIONAL,310
-19.9,-44.0,EXTERNAL,310
-23.5,-46.5,EXTERNAL,310
-18.1,-52.9,REGIONAL,309
-25.4,-48.4,INTERNAL,309
-18.9,-50.3,INTERNAL,309
-29.7,-53.9,REGIONAL,309
-9.9,-67.8,REGIONAL,309
-22.3,-43.1,REGIONAL,308
-23.6,-46.5,EXTERNAL,308
-22.9,-47.1,INTERNAL,308
-23.6,-46.5,INTERNAL,308
-10.1,-67.6,REGIONAL,308
-16.7,-49.3,REGIONAL,307
-23.9,-52.8,EXTERNAL,307
-26.8,-49.2,REGIONAL,306
5.7,-49.1,EXTERNAL,306
-8.7,-35.1,REGIONAL,306
-21.2,-47.9,REGIONAL,306
-28.5,-49.5,REGIONAL,305
-15.9,-48.1,REGIONAL,304
-24.0,-47.4,REGIONAL,303
-25.9,-48.6,REGIONAL,303
-23.0,-47.0,REGIONAL,303
-24.2,-46.8,REGIONAL,302
-19.6,-56.2,REGIONAL,302
0.0,-51.1,REGIONAL,302
-13.0,-38.4,REGIONAL,302
3.1,-60.8,INTERNAL,302
-20.8,-41.7,REGIONAL,301
-22.8,-48.7,INTERNAL,300
-3.1,-59.9,REGIONAL,300
-16.6,-56.7,REGIONAL,299
-29.4,-49.7,REGIONAL,299
-16.4,-41.0,REGIONAL,299
-23.8,-47.0,INTERNAL,298
-11.1,-63.4,INTERNAL,298
-22.8,-43.2,REGIONAL,296
-27.2,-48.5,REGIONAL,296
-23.6,-46.8,EXTERNAL,295
-23.2,-46.9,EXTERNAL,294
-29.6,-53.6,REGIONAL,293
-15.8,-48.9,REGIONAL,292
-13.0,-38.5,EXTERNAL,292
-29.9,-51.1,REGIONAL,291
-30.1,-51.2,EXTERNAL,291
-23.8,-48.0,INTERNAL,291
-22.0,-47.9,EXTERNAL,291
-22.8,-43.3,REGIONAL,291
-14.9,-45.3,INTERNAL,290
-25.0,-47.9,REGIONAL,289
-15.4,-55.8,REGIONAL,289
-22.7,-49.7,INTERNAL,289
-20.0,-43.8,REGIONAL,289
-22.4,-44.7,EXTERNAL,288
-23.4,-46.4,INTERNAL,287
-15.6,-47.7,REGIONAL,287
3.1,-52.3,EXTERNAL,287
-23.4,-46.6,INTERNAL,286
-21.2,-47.7,INTERNAL,286
-23.6,-45.8,REGIONAL,286
-16.7,-56.9,REGIONAL,285
-3.6,-59.8,REGIONAL,285
-19.7,-44.9,REGIONAL,284
-18.1,-39.9,EXTERNAL,283
-25.4,-49.4,REGIONAL,282
-21.7,-41.0,REGIONAL,282
3.4,-61.4,INTERNAL,282
-30.0,-50.2,INTERNAL,282
-20.9,-42.5,REGIONAL,282
-20.4,-55.0,EXTERNAL,282
-0.0,0.0,INTERNAL,281
-8.5,-39.2,EXTERNAL,281
-22.6,-46.5,REGIONAL,280
-6.2,-50.4,REGIONAL,279
-25.6,-48.4,REGIONAL,279
2.9,-60.7,INTERNAL,279
-22.0,-47.5,INTERNAL,279
-19.0,-57.7,REGIONAL,278
-8.6,-37.2,REGIONAL,278
-21.6,-47.6,INTERNAL,278
-25.4,-51.5,REGIONAL,278
-29.6,-53.8,REGIONAL,277
-7.7,-72.6,EXTERNAL,277
-19.2,-46.2,REGIONAL,277
-23.6,-45.5,INTERNAL,276
-28.1,-48.6,REGIONAL,276
-25.7,-49.3,REGIONAL,276
-25.5,-49.1,REGIONAL,276
-25.5,-49.3,EXTERNAL,276
-23.6,-46.8,INTERNAL,275
-23.7,-47.0,REGIONAL,275
-27.0,-49.5,REGIONAL,274
-19.0,-40.1,REGIONAL,273
-30.1,-51.7,REGIONAL,273
-4.5,-38.9,EXTERNAL,273
-27.9,-49.6,REGIONAL,272
-24.6,-46.2,INTERNAL,272
-5.1,-40.9,REGIONAL,271
-5.7,-35.1,INTERNAL,271
-20.4,-41.0,REGIONAL,270
-14.3,-40.2,REGIONAL,270
