lat,lon,source_type,record_count,countrycode,country_name,wb_income_group
-24.0,-46.4,REGIONAL,1033,BR,Brazil,Upper middle income
-15.7,-47.8,REGIONAL,1024,BR,Brazil,Upper middle income
-22.9,-47.1,REGIONAL,1024,BR,Brazil,Upper middle income
-22.6,-43.0,REGIONAL,1022,BR,Brazil,Upper middle income
0.2,-39.9,EXTERNAL,1017,XX,Unknown,Not classified
-24.3,-48.4,REGIONAL,1012,BR,Brazil,Upper middle income
-22.0,-47.9,REGIONAL,1010,BR,Brazil,Upper middle income
-23.0,-42.0,REGIONAL,1009,XX,Unknown,Not classified
-26.8,-48.6,REGIONAL,997,BR,Brazil,Upper middle income
-7.9,-14.3,INTERNAL,996,XX,Unknown,Not classified
-6.1,-50.1,REGIONAL,987,BR,Brazil,Upper middle income
-25.5,-49.3,REGIONAL,980,BR,Brazil,Upper middle income
-25.5,-54.6,REGIONAL,979,PY,Paraguay,Upper middle income
-23.9,-45.3,INTERNAL,970,XX,Unknown,Not classified
-27.0,-48.6,REGIONAL,967,BR,Brazil,Upper middle income
-9.6,-35.7,REGIONAL,966,BR,Brazil,Upper middle income
-23.9,-46.2,INTERNAL,959,BR,Brazil,Upper middle income
-15.8,-48.0,REGIONAL,954,BR,Brazil,Upper middle income
-24.2,-47.9,INTERNAL,954,BR,Brazil,Upper middle income
-8.7,-35.9,REGIONAL,952,BR,Brazil,Upper middle income
-22.9,-43.3,REGIONAL,949,BR,Brazil,Upper middle income
-22.9,-42.0,REGIONAL,944,BR,Brazil,Upper middle income
-23.8,-45.8,INTERNAL,940,BR,Brazil,Upper middle income
-12.8,-38.6,INTERNAL,938,BR,Brazil,Upper middle income
-22.9,-43.4,REGIONAL,937,BR,Brazil,Upper middle income
-14.2,-51.6,REGIONAL,936,BR,Brazil,Upper middle income
-27.6,-48.6,REGIONAL,934,BR,Brazil,Upper middle income
-11.6,-42.6,EXTERNAL,933,BR,Brazil,Upper middle income
-20.4,-40.7,REGIONAL,930,BR,Brazil,Upper middle income
-25.8,-53.6,REGIONAL,928,BR,Brazil,Upper middle income
-29.7,-53.8,REGIONAL,927,BR,Brazil,Upper middle income
-6.6,-37.3,INTERNAL,925,BR,Brazil,Upper middle income
-22.4,-47.6,REGIONAL,925,BR,Brazil,Upper middle income
-2.4,-54.7,REGIONAL,922,BR,Brazil,Upper middle income
-7.6,-72.7,REGIONAL,917,BR,Brazil,Upper middle income
-23.5,-45.1,REGIONAL,916,BR,Brazil,Upper middle income
-29.7,-53.6,REGIONAL,916,BR,Brazil,Upper middle income
-9.6,-34.3,EXTERNAL,910,XX,Unknown,Not classified
-3.6,-38.4,INTERNAL,909,XX,Unknown,Not classified
-23.6,-45.2,INTERNAL,905,BR,Brazil,Upper middle income
-22.3,-47.2,INTERNAL,895,BR,Brazil,Upper middle income
-10.3,-62.9,EXTERNAL,887,BR,Brazil,Upper middle income
-27.8,-48.5,REGIONAL,887,XX,Unknown,Not classified
-7.1,-37.3,INTERNAL,885,BR,Brazil,Upper middle income
-25.5,-48.7,INTERNAL,885,BR,Brazil,Upper middle income
-16.1,-47.8,REGIONAL,880,BR,Brazil,Upper middle income
-23.8,-46.7,REGIONAL,877,BR,Brazil,Upper middle income
-25.5,-49.2,REGIONAL,873,BR,Brazil,Upper middle income
-23.7,-46.7,REGIONAL,857,BR,Brazil,Upper middle income
-23.3,-46.6,REGIONAL,855,BR,Brazil,Upper middle income
-7.9,-34.8,REGIONAL,844,XX,Unknown,Not classified
-4.0,-38.6,REGIONAL,843,BR,Brazil,Upper middle income
-7.1,-34.8,REGIONAL,839,BR,Brazil,Upper middle income
-25.5,-48.6,INTERNAL,839,BR,Brazil,Upper middle income
-23.5,-46.4,REGIONAL,839,BR,Brazil,Upper middle income
-8.6,-37.3,INTERNAL,830,BR,Brazil,Upper middle income
-25.5,-43.4,EXTERNAL,829,XX,Unknown,Not classified
-3.6,-35.2,EXTERNAL,827,XX,Unknown,Not classified
-29.6,-53.7,REGIONAL,816,BR,Brazil,Upper middle income
-27.1,-49.0,REGIONAL,814,BR,Brazil,Upper middle income
-1.1,-52.6,INTERNAL,812,BR,Brazil,Upper middle income
-23.3,-46.7,REGIONAL,811,BR,Brazil,Upper middle income
-7.1,-34.9,REGIONAL,810,BR,Brazil,Upper middle income
-25.4,-48.3,INTERNAL,806,BR,Brazil,Upper middle income
-25.4,-48.7,INTERNAL,804,BR,Brazil,Upper middle income
-22.8,-46.9,REGIONAL,804,BR,Brazil,Upper middle income
-30.4,-50.3,INTERNAL,803,XX,Unknown,Not classified
-23.6,-46.6,EXTERNAL,798,BR,Brazil,Upper middle income
-20.3,-41.1,REGIONAL,792,BR,Brazil,Upper middle income
-22.6,-43.1,REGIONAL,777,BR,Brazil,Upper middle income
-16.8,-49.3,REGIONAL,773,BR,Brazil,Upper middle income
-23.2,-46.9,REGIONAL,772,BR,Brazil,Upper middle income
-24.0,-46.3,REGIONAL,771,BR,Brazil,Upper middle income
-12.8,-38.5,INTERNAL,766,BR,Brazil,Upper middle income
-12.6,-38.0,REGIONAL,764,XX,Unknown,Not classified
-23.8,-45.2,INTERNAL,761,XX,Unknown,Not classified
-17.3,-56.7,REGIONAL,759,BR,Brazil,Upper middle income
-22.5,-43.2,REGIONAL,751,BR,Brazil,Upper middle income
-23.0,-43.5,INTERNAL,749,BR,Brazil,Upper middle income
-23.1,-44.7,INTERNAL,749,BR,Brazil,Upper middle income
-20.9,-40.6,INTERNAL,744,XX,Unknown,Not classified
-22.5,-46.6,REGIONAL,744,BR,Brazil,Upper middle income
-9.6,-35.8,REGIONAL,743,BR,Brazil,Upper middle income
-20.4,-38.6,EXTERNAL,739,XX,Unknown,Not classified
-11.5,-42.5,EXTERNAL,739,BR,Brazil,Upper middle income
-23.6,-46.9,REGIONAL,739,BR,Brazil,Upper middle income
-21.2,-47.8,REGIONAL,737,BR,Brazil,Upper middle income
-6.6,-65.8,INTERNAL,729,BR,Brazil,Upper middle income
-1.5,-56.4,EXTERNAL,729,BR,Brazil,Upper middle income
-20.4,-49.3,INTERNAL,729,BR,Brazil,Upper middle income
-23.3,-44.9,INTERNAL,728,BR,Brazil,Upper middle income
-20.4,-44.5,REGIONAL,728,BR,Brazil,Upper middle income
-23.0,-43.3,INTERNAL,725,BR,Brazil,Upper middle income
-22.9,-45.5,INTERNAL,725,BR,Brazil,Upper middle income
-3.8,-32.4,REGIONAL,724,XX,Unknown,Not classified
-23.4,-45.1,REGIONAL,718,BR,Brazil,Upper middle income
3.2,-60.4,INTERNAL,718,BR,Brazil,Upper middle income
-25.5,-48.5,INTERNAL,714,BR,Brazil,Upper middle income
-20.0,-44.0,REGIONAL,714,BR,Brazil,Upper middle income
-23.8,-45.7,INTERNAL,709,BR,Brazil,Upper middle income
-23.4,-51.9,REGIONAL,708,BR,Brazil,Upper middle income
-23.5,-45.0,INTERNAL,705,BR,Brazil,Upper middle income
-15.4,-39.6,REGIONAL,702,BR,Brazil,Upper middle income
