original_key,resolved_name,resolved_country,type,__index_level_0__
Fundación Cataruben,Fundación Cataruben,CO,rightsholder,179
4bc5fc68-29a9-4b8c-857d-1e0f5ee9eedf,Corporación para la Investigación de la Corrosión,CO,organization,180
Corporación para la Investigación de la Corrosión,Corporación para la Investigación de la Corrosión,CO,rightsholder,181
227e6095-87ed-4d33-bd90-f0eec697f918,Stazione Zoologica Anton Dohrn,IT,organization,182
Stazione Zoologica Anton Dohrn,Stazione Zoologica Anton Dohrn,IT,rightsholder,183
589389ab-adc3-4ecd-bf74-8f728d902fb6,CSIR- Centre for Cellular and Molecular Biology,IN,organization,184
CSIR- Centre for Cellular and Molecular Biology,CSIR- Centre for Cellular and Molecular Biology,IN,rightsholder,185
614585a7-50d9-4028-832a-2f86a55aed99,University of Palermo,IT,organization,186
University of Palermo,University of Palermo,IT,rightsholder,187
8013f29b-9d59-45de-8241-8647f3e361ff,Yukon University Herbarium,CA,organization,188
Yukon University Herbarium,Yukon University Herbarium,CA,rightsholder,189
3a7e31ec-8c16-47e2-8b83-3188c356c4dc,Instituto Conmemorativo Gorgas de Estudio de la Salud,PA,organization,190
Instituto Conmemorativo Gorgas de Estudio de la Salud,Instituto Conmemorativo Gorgas de Estudio de la Salud,PA,rightsholder,191
89ca12ca-1d8d-4304-8177-d325ab5855d6,"The Linnaean Gardens of Uppsala, Uppsala University",SE,organization,192
"The Linnaean Gardens of Uppsala, Uppsala University","The Linnaean Gardens of Uppsala, Uppsala University",SE,rightsholder,193
ec9c26d4-c177-40c0-857b-eb0862a2d30b,Jagannath University,BD,organization,194
Jagannath University,Jagannath University,BD,rightsholder,195
6b96868f-0b19-4216-b9c4-50b7b6b54ac7,"National Inventories of Landscapes in Sweden, Department of Forest Resource Management, SLU",SE,organization,196
"National Inventories of Landscapes in Sweden, Department of Forest Resource Management, SLU","National Inventories of Landscapes in Sweden, Department of Forest Resource Management, SLU",SE,rightsholder,197
35d44660-445c-4a15-9869-65b5183b369d,Université de Toulouse,FR,organization,198
Université de Toulouse,Université de Toulouse,FR,rightsholder,199
d5d073a6-80c5-4543-a1d1-178b0762a650,Brisbane Botanic Gardens,AU,organization,200
Brisbane Botanic Gardens,Brisbane Botanic Gardens,AU,rightsholder,201
9240c810-0769-4bb4-a37d-835409e23a4a,Centro Universitario Regional del Este (CURE),UY,organization,202
Centro Universitario Regional del Este (CURE),Centro Universitario Regional del Este (CURE),UY,rightsholder,203
184f1075-2f9e-4066-94d9-b2e5f306e6e4,Navajo Nation Herbarium,US,organization,204
Navajo Nation Herbarium,Navajo Nation Herbarium,US,rightsholder,205
3cd7d905-0e69-40d0-ae28-6f5f62b32583,The Cyprus Institute,CY,organization,206
The Cyprus Institute,The Cyprus Institute,CY,rightsholder,207
a28b248b-ee6b-416a-8809-bf9fdc31afd6,Universidad Alberto Hurtado,CL,organization,208
Universidad Alberto Hurtado,Universidad Alberto Hurtado,CL,rightsholder,209
57744553-1d3b-4627-a3f6-5c0e69704796,1000 Genomas Chile,CL,organization,210
1000 Genomas Chile,1000 Genomas Chile,CL,rightsholder,211
